hs6,productcode,레벨1코드,레벨2코드,레벨3코드
242400,,,,
300402,,,,
383775,,,,
392421,,,,
490100,,,,
490520,"Maps and hydrographic or similar charts of all kinds, including atlases, wall maps, topographical plans and globes, printed. In book form",,,
490590,"Maps and hydrographic or similar charts of all kinds, including atlases, wall maps, topographical plans and globes, printed. Other",,,
610530,,,,
747989,,,,
771719,,,,
840422,"Auxiliary plant for use with boilers of heading 84.02 or 84.03 (for example, economisers, super-heaters, soot removers, gas recoverers); condensers for steam or other vapour power units. ",,,
843140,Parts suitable for use solely or principally with the machinery of headings 84.25 to 84.30. ,,,
845099,"Household or laundry-type washing machines, including machines which both wash and dry (+).",,,
848171,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, including pressure-reducing valves and thermostatically controlled valves.",,,
