section,line_number,reference_type,matched_text,category,classification_reason
1_2,36,"2000-2010 period","From 2000 to 2010—the long-difference period of this paper—Korean imports from China grew",A_TRUE_GAP,Main specification period introduced as MAIN long-difference window (not robustness); Path A says main is 1997-2022 endpoint only
1_2,56,"2000-2010 period","1994-baseline Bartik exposure measure z_x_h, constructed as detailed in Section 4.1",B_LEGITIMATE_ROBUSTNESS,References baseline construction; 2000-2010 is trade shock activation window not main outcome window
1_2,44,"1994 baseline explanation","I use the 1994 KOSTAT industrial census as the baseline year",B_LEGITIMATE_ROBUSTNESS,Explains baseline choice rationale; not a main vs robustness gap
5,19,"Main estimate","β_main = -0.127 (cluster-province t = -4.02; AKM-proper t = -4.93)",B_LEGITIMATE_ROBUSTNESS,Path A NATIVE estimate (-0.127); archive build (-0.0685) cited as sensitivity only; this is MAIN
5,23,"Sample size","The 221 sigungu in the main analytic sample (the universe is 226 sigungu)",B_LEGITIMATE_ROBUSTNESS,Path A main n=221; correctly labeled
5,25,"Archive build robustness","Replacing the 2000-2010 China bilateral exposure with the 1995-2001 pre-WTO bilateral exposure",B_LEGITIMATE_ROBUSTNESS,Pre-WTO placebo test; explicitly framed as falsification check not main
5,31,"HC1 layer","HC1 (heteroskedasticity-robust) | 0.0323 | -2.12 | 0.034",A_TRUE_GAP,HC1 SE=0.0323 and t=-2.12 appear to correspond to archive build (-0.0685); main estimate (-0.127) should yield much larger t-stat under HC1
5,42,"Archive build coefficient","The OLS point estimate β = -0.0685 is invariant across the standard error layers by construction",A_TRUE_GAP,States -0.0685 as "THE" OLS point estimate; Path A native is -0.127; this is mislabeled transition section
5,56,"Archive specification intro","This paper proceeds with the reduced-form coefficient β_main = -0.0685 as the preferred specification",A_TRUE_GAP,Explicitly states -0.0685 as MAIN preferred specification; Path A says -0.127 is main; direct contradiction
5,76,"Deaths-of-despair coefficient","The deaths-of-despair coefficient (-0.0685) is the largest in absolute magnitude among the five outcomes",A_TRUE_GAP,Repeats archive build as main result for outcome specificity; Path A main should be -0.127
6,13,"Robustness intro","This section reports six classes of robustness checks for the main reduced-form estimate β = -0.0685",A_TRUE_GAP,§6 intro calls -0.0685 the MAIN estimate; Path A specifies -0.127 as main
6,31,"Drop-C26 result","β_dropC26 = -0.0756 (HC1 SE = 0.0335, t = -2.26)",B_LEGITIMATE_ROBUSTNESS,Robustness result on archive build specification; correctly contextualized within § 6
6,41,"Baseline employment corr","1994 vs 1993 ρ ≈ 0.97 from KOSTAT industrial census; 1994 vs 1995 ρ ≈ 0.96; 1994 vs 1996 ρ ≈ 0.94",B_LEGITIMATE_ROBUSTNESS,Cross-baseline correlation justifying why alternatives expected near ±1.5pp of -0.0685; refers to archive robustness range
6,47,"1992 baseline result","β_1992 = -0.0158 (HC1 SE = 0.0246, t = -0.64, p = 0.52; n = 210",B_LEGITIMATE_ROBUSTNESS,Alternative baseline sensitivity; clearly flagged as robustness attenuation not main result
6,88,"Comparison magnitudes","0.0897 vs 0.0685 in absolute terms",C_AMBIGUOUS,Context: post-2008 sub-period 0.0897 vs archive 0.0685 sub-period; need full context re: whether archive is main here
8_9,15,"Main estimate contextual","The Korean estimate of -6.85 percent reduction in working-age deaths-of-despair mortality",B_LEGITIMATE_ROBUSTNESS,Refers to percentage form of main (converts -0.127 to -6.85%); interpreting comparative framework not citing archive
8_9,35,"Baseline year limitation","The 1992-baseline alternative specification yields β = -0.016 (HC1 p = 0.52)",B_LEGITIMATE_ROBUSTNESS,Limitations section; robustness weakness documented
8_9,51,"Main conclusion","β = -0.127 in log-rate units",B_LEGITIMATE_ROBUSTNESS,Final statement; correctly cites main estimate per Path A
